коррупция,взятка,приговор,хищение,расследование,задержание,доллар,миллион,миллиард,агентство,преступление,суд,министерство,аким,начальник,заместитель,район,город,область,правонарушение,Date,Total Crimes
27,52.0,5.0,10.0,33.0,7.0,3.0,22.0,3.0,9.0,5.0,35.0,4.0,16.0,13.0,23.0,27.0,17.0,33.0,1.0,2019-09,2553.0
58,98.0,26.0,17.0,55.0,12.0,9.0,53.0,8.0,23.0,35.0,93.0,16.0,8.0,37.0,22.0,26.0,11.0,92.0,13.0,2019-10,2663.0
42,36.0,17.0,9.0,26.0,7.0,12.0,34.0,2.0,14.0,21.0,45.0,3.0,14.0,6.0,11.0,14.0,10.0,38.0,2.0,2019-11,2754.0
37,27.0,10.0,16.0,38.0,4.0,9.0,36.0,12.0,19.0,19.0,52.0,7.0,30.0,7.0,28.0,15.0,20.0,36.0,6.0,2019-12,2720.0
40,39.0,4.0,20.0,28.0,8.0,8.0,32.0,13.0,16.0,16.0,37.0,4.0,15.0,6.0,19.0,20.0,5.0,28.0,2.0,2020-01,1080.0
81,51.0,15.0,11.0,25.0,9.0,9.0,53.0,9.0,29.0,27.0,42.0,24.0,9.0,15.0,17.0,4.0,9.0,59.0,4.0,2020-02,1255.0
20,22.0,3.0,4.0,9.0,3.0,2.0,19.0,5.0,13.0,2.0,26.0,5.0,9.0,1.0,6.0,2.0,1.0,22.0,3.0,2020-03,1395.0
82,29.0,5.0,10.0,20.0,3.0,2.0,14.0,3.0,58.0,12.0,17.0,5.0,10.0,8.0,21.0,19.0,19.0,41.0,8.0,2020-04,1619.0
36,28.0,10.0,26.0,43.0,11.0,3.0,28.0,6.0,25.0,9.0,24.0,7.0,8.0,13.0,11.0,15.0,4.0,43.0,4.0,2020-05,1842.0
45,39.0,7.0,29.0,52.0,7.0,1.0,47.0,7.0,32.0,16.0,30.0,19.0,18.0,1.0,21.0,17.0,9.0,58.0,4.0,2020-06,2057.0
40,12.0,1.0,11.0,17.0,2.0,7.0,8.0,3.0,23.0,8.0,9.0,4.0,8.0,6.0,6.0,3.0,10.0,16.0,1.0,2020-07,2195.0
93,31.0,15.0,23.0,23.0,13.0,4.0,37.0,11.0,24.0,31.0,52.0,19.0,43.0,14.0,31.0,12.0,18.0,62.0,16.0,2020-08,2333.0
51,25.0,7.0,9.0,29.0,16.0,7.0,37.0,9.0,26.0,10.0,14.0,8.0,16.0,11.0,21.0,1.0,14.0,33.0,1.0,2020-09,2593.0
26,21.0,3.0,7.0,19.0,5.0,3.0,11.0,2.0,8.0,16.0,13.0,4.0,6.0,1.0,6.0,3.0,4.0,22.0,1.0,2020-10,2725.0
15,5.0,2.0,4.0,7.0,1.0,1.0,5.0,1.0,11.0,2.0,6.0,8.0,2.0,1.0,3.0,2.0,5.0,5.0,2.0,2020-11,2895.0
17,10.0,9.0,6.0,3.0,2.0,4.0,23.0,4.0,2.0,11.0,12.0,4.0,9.0,7.0,14.0,3.0,7.0,9.0,1.0,2020-12,2674.0
27,21.0,5.0,10.0,23.0,6.0,3.0,24.0,8.0,10.0,8.0,34.0,1.0,2.0,4.0,4.0,2.0,8.0,11.0,3.0,2021-01,896.0
28,22.0,8.0,9.0,9.0,10.0,1.0,12.0,1.0,8.0,12.0,17.0,8.0,11.0,8.0,14.0,7.0,4.0,26.0,3.0,2021-02,1047.0
15,13.0,10.0,10.0,1.0,1.0,1.0,28.0,3.0,10.0,6.0,24.0,7.0,1.0,1.0,3.0,6.0,2.0,10.0,4.0,2021-03,1168.0
37,5.0,4.0,4.0,8.0,1.0,1.0,8.0,5.0,25.0,18.0,5.0,4.0,3.0,1.0,14.0,1.0,1.0,6.0,2.0,2021-04,1275.0
18,4.0,3.0,1.0,12.0,1.0,2.0,10.0,1.0,3.0,6.0,17.0,1.0,3.0,1.0,1.0,1.0,2.0,8.0,2.0,2021-05,1443.0
16,7.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,6.0,1.0,6.0,1.0,4.0,1.0,7.0,1.0,2.0,6.0,1.0,2021-06,1523.0
14,8.0,1.0,4.0,12.0,3.0,1.0,3.0,2.0,13.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,12.0,2.0,2021-07,1647.0
4,12.0,1.0,2.0,3.0,3.0,1.0,6.0,1.0,5.0,1.0,3.0,2.0,7.0,1.0,6.0,5.0,1.0,9.0,1.0,2021-08,1803.0
14,13.0,2.0,3.0,3.0,1.0,1.0,7.0,1.0,10.0,1.0,7.0,8.0,1.0,1.0,2.0,3.0,3.0,7.0,2.0,2021-09,1914.0
8,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,8.0,4.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,2021-10,1979.0
15,2.0,2.0,11.0,7.0,1.0,1.0,3.0,4.0,8.0,8.0,7.0,6.0,10.0,1.0,1.0,4.0,3.0,16.0,1.0,2021-11,2087.0
14,14.0,5.0,8.0,8.0,9.0,2.0,15.0,1.0,10.0,10.0,26.0,1.0,31.0,1.0,26.0,4.0,8.0,31.0,2.0,2021-12,2046.0
6,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2022-01,853.0
50,6.0,1.0,3.0,9.0,3.0,4.0,7.0,3.0,26.0,1.0,8.0,6.0,8.0,7.0,13.0,1.0,5.0,13.0,5.0,2022-02,1069.0
15,3.0,1.0,3.0,17.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,5.0,1.0,1.0,8.0,1.0,1.0,9.0,4.0,2022-03,1259.0
18,18.0,7.0,4.0,6.0,5.0,3.0,6.0,6.0,5.0,4.0,19.0,2.0,1.0,11.0,6.0,2.0,5.0,12.0,2.0,2022-04,1449.0
13,13.0,3.0,1.0,4.0,4.0,1.0,7.0,3.0,12.0,1.0,13.0,1.0,7.0,3.0,6.0,2.0,2.0,8.0,4.0,2022-05,1638.0
10,6.0,3.0,1.0,3.0,1.0,7.0,8.0,8.0,6.0,6.0,10.0,1.0,3.0,1.0,2.0,10.0,22.0,9.0,1.0,2022-06,1828.0
20,19.0,7.0,3.0,5.0,1.0,12.0,14.0,5.0,6.0,7.0,16.0,2.0,5.0,4.0,3.0,3.0,4.0,6.0,2.0,2022-07,1920.0
16,4.0,4.0,2.0,6.0,2.0,4.0,7.0,1.0,6.0,7.0,15.0,1.0,12.0,5.0,7.0,3.0,4.0,11.0,2.0,2022-08,1973.0
9,10.0,8.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,12.0,1.0,4.0,1.0,3.0,1.0,2.0,8.0,5.0,2022-09,2045.0
51,14.0,7.0,10.0,2.0,4.0,2.0,12.0,10.0,11.0,23.0,15.0,1.0,3.0,1.0,4.0,2.0,3.0,11.0,3.0,2022-10,2084.0
1,7.0,4.0,1.0,2.0,1.0,1.0,8.0,2.0,2.0,3.0,10.0,2.0,2.0,2.0,3.0,2.0,2.0,8.0,1.0,2022-11,2180.0
35,13.0,3.0,1.0,11.0,2.0,1.0,11.0,4.0,10.0,5.0,8.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,2022-12,2191.0
11,14.0,7.0,2.0,9.0,1.0,2.0,12.0,7.0,2.0,4.0,11.0,1.0,2.0,2.0,6.0,2.0,5.0,14.0,3.0,2023-01,827.0
7,12.0,4.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,7.0,15.0,2.0,5.0,1.0,2.0,3.0,1.0,19.0,1.0,2023-02,991.0
9,6.0,4.0,1.0,5.0,1.0,1.0,4.0,3.0,2.0,1.0,15.0,3.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,2023-03,1088.0
18,24.0,8.0,16.0,9.0,4.0,2.0,11.0,17.0,11.0,4.0,16.0,4.0,6.0,7.0,7.0,6.0,5.0,6.0,4.0,2023-04,1221.0
31,8.0,5.0,2.0,9.0,4.0,10.0,11.0,20.0,9.0,11.0,10.0,18.0,1.0,4.0,5.0,2.0,4.0,15.0,9.0,2023-05,1346.0
7,17.0,10.0,9.0,9.0,1.0,3.0,8.0,6.0,8.0,6.0,16.0,2.0,1.0,2.0,9.0,1.0,5.0,10.0,5.0,2023-06,1465.0
13,7.0,7.0,14.0,14.0,4.0,1.0,20.0,9.0,13.0,3.0,25.0,14.0,2.0,5.0,5.0,7.0,7.0,20.0,7.0,2023-07,1595.0
8,17.0,12.0,4.0,3.0,3.0,6.0,13.0,7.0,1.0,2.0,23.0,2.0,22.0,3.0,7.0,5.0,11.0,23.0,9.0,2023-08,1700.0
33,15.0,11.0,10.0,10.0,9.0,4.0,17.0,1.0,9.0,9.0,42.0,5.0,9.0,9.0,12.0,3.0,7.0,21.0,8.0,2023-09,1808.0
14,22.0,9.0,5.0,4.0,2.0,4.0,20.0,7.0,3.0,3.0,44.0,1.0,7.0,1.0,12.0,1.0,3.0,7.0,11.0,2023-10,1889.0
19,27.0,20.0,5.0,25.0,10.0,7.0,44.0,12.0,10.0,11.0,106.0,3.0,28.0,1.0,33.0,3.0,11.0,24.0,15.0,2023-11,1984.0
13,28.0,16.0,1.0,3.0,3.0,3.0,18.0,4.0,4.0,6.0,48.0,11.0,9.0,3.0,1.0,5.0,8.0,20.0,6.0,2023-12,2133.0
21,39.0,14.0,19.0,19.0,12.0,14.0,37.0,8.0,10.0,7.0,64.0,3.0,16.0,4.0,17.0,15.0,12.0,31.0,7.0,2024-01,811.0
44,19.0,11.0,13.0,17.0,8.0,5.0,20.0,25.0,14.0,10.0,22.0,17.0,19.0,4.0,7.0,7.0,9.0,26.0,2.0,2024-02,1054.0
5,10.0,6.0,2.0,10.0,6.0,2.0,15.0,5.0,8.0,6.0,21.0,8.0,2.0,2.0,4.0,2.0,5.0,12.0,2.0,2024-03,1167.0
22,13.0,11.0,6.0,9.0,2.0,4.0,29.0,32.0,6.0,9.0,24.0,3.0,10.0,1.0,6.0,5.0,1.0,13.0,1.0,2024-04,1297.0
11,12.0,3.0,2.0,9.0,3.0,1.0,11.0,10.0,8.0,1.0,14.0,7.0,3.0,2.0,1.0,2.0,2.0,11.0,2.0,2024-05,1452.0
20,21.0,12.0,1.0,11.0,4.0,2.0,14.0,7.0,11.0,8.0,25.0,4.0,2.0,6.0,6.0,3.0,4.0,12.0,1.0,2024-06,1531.0
28,26.0,31.0,34.0,26.0,7.0,2.0,26.0,21.0,11.0,3.0,47.0,13.0,6.0,12.0,7.0,2.0,3.0,31.0,6.0,2024-07,1693.0
10,16.0,20.0,11.0,12.0,5.0,2.0,30.0,4.0,6.0,5.0,41.0,5.0,5.0,3.0,7.0,7.0,4.0,19.0,5.0,2024-08,1769.0
20,16.0,14.0,12.0,2.0,13.0,1.0,24.0,10.0,9.0,4.0,35.0,13.0,23.0,3.0,9.0,13.0,6.0,22.0,3.0,2024-09,1903.0
25,15.0,3.0,8.0,10.0,1.0,7.0,29.0,25.0,11.0,5.0,13.0,19.0,4.0,3.0,3.0,9.0,7.0,23.0,4.0,2024-10,1989.0
11,26.0,19.0,4.0,17.0,5.0,8.0,24.0,4.0,6.0,4.0,41.0,9.0,6.0,13.0,2.0,6.0,5.0,26.0,7.0,2024-11,2100.0
28,9.0,12.0,8.0,7.0,7.0,5.0,18.0,16.0,9.0,8.0,30.0,7.0,1.0,4.0,8.0,6.0,7.0,20.0,2.0,2024-12,2098.0
51,40.0,28.0,5.0,10.0,3.0,4.0,22.0,10.0,21.0,19.0,32.0,6.0,5.0,9.0,26.0,3.0,10.0,39.0,15.0,2025-01,730.0
